id,value,unit
Km_SPC_37_cytoplasm,0.00015,CustomUnit("M")
Km_SPC_37_Cell,0.000063,CustomUnit("M")
KeqADH,0.000069,CustomUnit("")
KiADHNAD_SPC_37_cytosol,0.00092,CustomUnit("M")
VmADH,0.0135,CustomUnit("Mswedgeone")
KmADHACE_SPC_1292_cytosol,0.00111,CustomUnit("M")
KiADHETOH_SPC_56_cytosol,0.09,CustomUnit("M")
KiADHNADH_SPC_38_cytosol,0.000031,CustomUnit("M")
KmADHETOH_SPC_56_cytosol,0.017,CustomUnit("M")
cytosol,0,CustomUnit("")
KmADHNAD_SPC_37_cytosol,0.00017,CustomUnit("M")
KiADHACE_SPC_1292_cytosol,0.0011,CustomUnit("M")
KmADHNADH_SPC_38_cytosol,0.00011,CustomUnit("M")
Vmax,0.0000616679,CustomUnit("katgwedgeone")
Km_SPC_56_Cell,0.094,CustomUnit("M")
kcat_Km_SPC_56_Cell,28,CustomUnit("Mwedgeoneswedgeone")
ADHADH1Kinadh_SPC_38_Cell,0.000031,CustomUnit("M")
ADHADH1Knad_SPC_37_Cell,0.00017,CustomUnit("M")
ADHADH1Kiacald_SPC_1292_Cell,0.0011,CustomUnit("M")
ADHADH1Kietoh_SPC_56_Cell,0.09,CustomUnit("M")
ADHADH1Kinad_SPC_37_Cell,0.00092,CustomUnit("M")
ADHADH1Kacald_SPC_1292_Cell,0.0004622,CustomUnit("M")
ADHADH1Knadh_SPC_38_Cell,0.00011,CustomUnit("M")
KeqADH,14492.75,CustomUnit("")
ADHADH1kcat,176,CustomUnit("swedgeone")
ADHADH1Ketoh_SPC_56_Cell,0.017,CustomUnit("M")
Kmb_SPC_56_Cell,0.01,CustomUnit("M")
Kia_SPC_37_Cell,0.000089,CustomUnit("M")
kcat,0.47,CustomUnit("swedgeone")
Kma_SPC_37_Cell,0.00004,CustomUnit("M")
Kinad_13_SPC_37_cytosol,0.00092,CustomUnit("M")
Ketoh_13_SPC_56_cytosol,0.017,CustomUnit("M")
Kietoh_13_SPC_56_cytosol,0.09,CustomUnit("M")
Kiacald_13_SPC_1292_cytosol,0.0011,CustomUnit("M")
Knadh_13_SPC_38_cytosol,0.00011,CustomUnit("M")
Knad_13_SPC_37_cytosol,0.00017,CustomUnit("M")
Kinadh_13_SPC_38_cytosol,0.000031,CustomUnit("M")
Kacald_13_SPC_1292_cytosol,0.00111,CustomUnit("M")
cytosol,0,CustomUnit("")
Keq_13,0.000069,CustomUnit("")
Vmax_13,209.5,CustomUnit("")
Vmax,0.00005833333,CustomUnit("molswedgeonegwedgeone")
Km_app_SPC_56_cytosol,0.0053,CustomUnit("M")
IC50_1_SPC_23139_Cell,0.0017,CustomUnit("M")
kcat,0.1666667,CustomUnit("swedgeone")
kcat_Km_SPC_56_Cell,18.33333,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_56_Cell,0.009,CustomUnit("M")
Km_app_SPC_56_cytosol,0.065,CustomUnit("M")
kcat,58.4,CustomUnit("swedgeone")
Km_SPC_37_cytosol,0.000557,CustomUnit("M")
kcat,61,CustomUnit("swedgeone")
Kis_SPC_21363_cytosol,0.00195,CustomUnit("M")
kcat,6.183333,CustomUnit("swedgeone")
Km_SPC_37_Cell,0.00023,CustomUnit("M")
kcat_Km_SPC_37_Cell,26833.33,CustomUnit("Mwedgeoneswedgeone")
Kis_SPC_1292_Cell,0.029,CustomUnit("M")
Kii_SPC_1292_Cell,0.00000026,CustomUnit("M")
Act,0.00003,CustomUnit("molswedgeonegwedgeone")
kcat,408.3333,CustomUnit("swedgeone")
kcatdivKm_SPC_37_mitochondrion,1046667,CustomUnit("Mwedgeoneswedgeone")
Km_SPC_37_mitochondrion,0.00039,CustomUnit("M")
Vmax,0.001066688,CustomUnit("katgwedgeone")
Km_SPC_1292_Cell,0.0034,CustomUnit("M")
kcat_Km_SPC_37_Cell,9240,CustomUnit("Mwedgeoneswedgeone")
kcat,1.663333,CustomUnit("swedgeone")
Vmax,0.000008,CustomUnit("molswedgeonegwedgeone")
Km_SPC_37_Cell,0.00018,CustomUnit("M")
Act,0.00001333333,CustomUnit("molswedgeonegwedgeone")
kcat,31,CustomUnit("swedgeone")
Kia_SPC_38_Cell,0.0000015,CustomUnit("M")
Kma_SPC_1292_Cell,0.016,CustomUnit("M")
Kmb_SPC_38_Cell,0.00001,CustomUnit("M")
Act,0.000366674,CustomUnit("katgwedgeone")
Km_a_SPC_56_Cell,0.0167,CustomUnit("M")
Km_b_SPC_37_Cell,0.000059,CustomUnit("M")
Kis_SPC_2190_Cell,0.000005,CustomUnit("M")
Kii_SPC_2190_Cell,0.000105,CustomUnit("M")
Km_SPC_38_Cell,0.00026,CustomUnit("M")
